,NodeCount,ConnectedComponentCount,MortalityRate,TimeToDeath,TimeToRecovery,CommunicationTime,ResistantProportion,Time,Infected,Resistant,Recovered,Dead,Communication,Weighted
317,4039,1,0.2,25,25,1,0.1,209.9459909717728,3408,335,2690,718,83305,False
318,4039,1,0.2,25,25,1,0.1,266.73334219805173,3103,380,2482,621,76873,True
319,4039,1,0.2,25,25,1,0.1,145.17235890156996,144,28,117,27,3414,False
320,4039,1,0.2,25,25,1,0.1,277.45569893359885,3327,359,2715,612,85290,True
321,4039,1,0.2,25,25,1,0.1,255.13064158603262,3360,388,2685,675,83323,False
322,4039,1,0.2,25,25,1,0.1,235.68850214757626,3182,341,2591,591,79243,True
323,4039,1,0.2,25,25,1,0.1,252.98088491810424,3471,375,2774,697,86081,False
324,4039,1,0.2,25,25,1,0.1,256.17343745504223,3299,354,2649,650,82204,True
325,4039,1,0.2,25,25,1,0.1,207.40533118008318,3392,372,2704,688,84635,False
326,4039,1,0.2,25,25,1,0.1,316.6212605357628,3280,394,2610,670,82497,True
327,4039,1,0.2,25,25,1,0.1,214.8746787098242,2725,317,2168,557,69755,False
328,4039,1,0.2,25,25,1,0.1,271.4443855076225,3181,335,2550,631,79631,True
329,4039,1,0.2,25,25,1,0.1,270.64130650726696,3341,380,2643,698,84832,False
330,4039,1,0.2,25,25,1,0.1,218.89899302554866,3145,335,2504,641,77923,True
331,4039,1,0.2,25,25,1,0.1,208.33793556010178,3406,364,2756,650,84109,False
332,4039,1,0.2,25,25,1,0.1,263.2819679549225,2613,288,2093,520,64569,True
333,4039,1,0.2,25,25,1,0.1,209.87242841557762,3295,389,2587,708,80733,False
334,4039,1,0.2,25,25,1,0.1,264.56759044375804,3068,373,2453,615,76755,True
335,4039,1,0.2,25,25,1,0.1,247.04376763089547,3415,381,2779,636,84735,False
336,4039,1,0.2,25,25,1,0.1,263.7320207279389,3068,358,2474,594,75564,True
337,4039,1,0.2,25,25,1,0.1,225.9368491302225,3414,375,2737,677,88509,False
338,4039,1,0.2,25,25,1,0.1,0.5916902579902712,1,0,1,0,0,True
339,4039,1,0.2,25,25,1,0.1,298.93468580894717,3168,370,2567,601,82404,False
340,4039,1,0.2,25,25,1,0.1,218.27738148127057,2711,306,2177,534,68810,True
341,4039,1,0.2,25,25,1,0.1,210.15136587172364,3393,418,2734,659,86086,False
342,4039,1,0.2,25,25,1,0.1,303.9554645249432,3093,367,2447,646,78909,True
343,4039,1,0.2,25,25,1,0.1,276.47680657717984,3182,385,2568,614,77963,False
344,4039,1,0.2,25,25,1,0.1,280.52683877777156,3310,351,2643,667,82559,True
345,4039,1,0.2,25,25,1,0.1,212.29004103800958,3434,385,2761,673,86659,False
346,4039,1,0.2,25,25,1,0.1,312.21934690648993,3150,344,2512,638,78166,True
347,4039,1,0.2,25,25,1,0.1,318.16602182078157,3433,374,2740,693,86295,False
348,4039,1,0.2,25,25,1,0.1,54.541652602951736,7,1,5,2,153,True
349,4039,1,0.2,25,25,1,0.1,216.02867337356787,3299,366,2616,683,80633,False
350,4039,1,0.2,25,25,1,0.1,265.95892954456696,3270,381,2613,657,84685,True
351,4039,1,0.2,25,25,1,0.1,232.00832943220962,3387,369,2734,653,85723,False
352,4039,1,0.2,25,25,1,0.1,254.71211621586605,2690,330,2169,521,66881,True
353,4039,1,0.2,25,25,1,0.1,251.10265435017092,3343,384,2676,667,81462,False
354,4039,1,0.2,25,25,1,0.1,0.6810674236729977,1,0,1,0,0,True
355,4039,1,0.2,25,25,1,0.1,214.90982211609443,3271,361,2632,639,79597,False
356,4039,1,0.2,25,25,1,0.1,239.61791176397094,3282,330,2644,638,81772,True
357,4039,1,0.2,25,25,1,0.1,280.8839427740492,3332,322,2627,705,82661,False
358,4039,1,0.2,25,25,1,0.1,213.75500441656632,2699,312,2187,512,67213,True
359,4039,1,0.2,25,25,1,0.1,229.0191362117846,3411,371,2740,671,85286,False
360,4039,1,0.2,25,25,1,0.1,201.7313951566114,3305,350,2684,621,83621,True
361,4039,1,0.2,25,25,1,0.1,223.09905250259618,3250,347,2598,652,82779,False
362,4039,1,0.2,25,25,1,0.1,218.12282276557593,2786,281,2234,552,69468,True
363,4039,1,0.2,25,25,1,0.1,215.51824559974273,3350,381,2648,702,84233,False
364,4039,1,0.2,25,25,1,0.1,235.89470002276676,3275,352,2635,640,81360,True
365,4039,1,0.2,25,25,1,0.1,214.57649374300576,3417,399,2764,653,86033,False
366,4039,1,0.2,25,25,1,0.1,300.1563848326256,3310,363,2648,662,83015,True
367,4039,1,0.2,25,25,1,0.1,322.9056773292772,2733,320,2138,595,69728,False
368,4039,1,0.2,25,25,1,0.1,254.31875366232802,3322,342,2693,629,81262,True
369,4039,1,0.2,25,25,1,0.1,238.1936038272042,3351,354,2698,653,84615,False
